Make,Model,Year,Count
BMW,X4,2018,67
BMW,X4,2017,11
BMW,X4,2015,44
BMW,X4,2014,11
BMW,X6,2016,43
BMW,X6,2017,49
BMW,X4,2015,44
BMW,X4,2016,32
BMW,X6,2013,40
BMW,X6,2014,27
BMW,X6,2017,49
BMW,X6,2018,36
BMW,X6,2015,25
BMW,X6,2016,43
BMW,X6,2014,27
BMW,X6,2015,25
BMW,X6,2011,21
BMW,X6,2012,30
BMW,X6,2009,21
BMW,X6,2008,14
BMW,X6,2010,26
BMW,X6,2011,21
BMW,X6,2013,40
BMW,X6,2012,30
BMW,X6,2010,26
BMW,X6,2009,21
BMW,Z4,2015,25
BMW,Z4,2016,11
BMW,Z4,2014,39
BMW,Z4,2015,25
BMW,Z4,2010,25
BMW,Z4,2009,25
BMW,Z4,2014,39
BMW,Z4,2013,26
BMW,Z4,2012,52
BMW,Z4,2013,26
BMW,8 Series,1998,2
BMW,8 Series,1997,1
BMW,Z4,2009,25
BMW,Z4,2008,25
BMW,Z4,2004,29
BMW,Z4,2005,25
BMW,8 Series,1994,2
BMW,8 Series,1995,1
BMW,8 Series,1997,1
BMW,8 Series,1995,1
BMW,Z4,2011,46
BMW,Z4,2012,52
BMW,Z4,2011,46
BMW,Z4,2010,25
BMW,Z4,2004,29
BMW,Z4,2003,18
BMW,Z4,2007,43
BMW,Z4,2008,25
BMW,Z4,2006,47
BMW,Z4,2005,25
BMW,i8,2015,18
BMW,i8,2014,7
BMW,Z4,2007,43
BMW,Z4,2006,47
AC,Cobra,2002,1
AC,Cobra,2000,1
Abarth,595C,2017,7
Abarth,595C,2018,4
Abarth,500C,2018,5
Abarth,500C,2019,4
Abarth,500C,2017,1
Abarth,500C,2018,5
BMW,X3,2019,30
BMW,X3,2018,144
Abarth,500C,2016,8
Abarth,500C,2017,1
Abarth,595C,2017,7
Abarth,595C,2016,3
Abarth,500C,2015,13
Abarth,500C,2016,8
BMW,X3,2016,86
BMW,X3,2017,28
BMW,X3,2018,144
BMW,X3,2017,28
BMW,1 Series,2013,538
BMW,1 Series,2012,465
BMW,1 Series,2009,263
BMW,1 Series,2010,316
BMW,1 Series,2011,341
BMW,1 Series,2010,316
BMW,X3,2015,141
BMW,X3,2016,86
BMW,1 Series,2006,47
BMW,1 Series,2005,43
BMW,1 Series,2006,47
BMW,1 Series,2007,79
BMW,X3,2013,96
BMW,X3,2012,100
BMW,X3,2008,22
BMW,X3,2009,16
BMW,X3,2015,141
BMW,X3,2014,83
BMW,X3,2012,100
BMW,X3,2011,69
BMW,X3,2009,16
BMW,X3,2010,13
BMW,X3,2007,56
BMW,X3,2008,22
BMW,X3,2013,96
BMW,X3,2014,83
BMW,X3,2007,56
BMW,X3,2006,40
BMW,X3,2011,69
BMW,X3,2010,13
BMW,1 Series,2005,43
BMW,1 Series,2004,12
BMW,X3,2005,37
BMW,X3,2006,40
BMW,X3,2005,37
BMW,X3,2004,30
Abarth,124,2018,51
Abarth,124,2019,8
Abarth,124,2017,17
Abarth,124,2016,3
Abarth,595,2018,51
Abarth,595,2019,14
Abarth,595,2016,36
Abarth,595,2017,44
BMW,1 Series,2008,210
BMW,1 Series,2007,79
Abarth,124,2018,51
Abarth,124,2017,17
Abarth,595,2017,44
Abarth,595,2018,51
BMW,1 Series,2009,263
BMW,1 Series,2008,210
BMW,X1,2018,135
BMW,X1,2019,24
BMW,3 Series,2010,338
BMW,3 Series,2009,360
BMW,X1,2017,79
BMW,X1,2018,135
BMW,X1,2017,79
BMW,X1,2016,108
BMW,X1,2011,117
BMW,X1,2010,74
BMW,X1,2010,74
BMW,X1,2009,6
BMW,X1,2011,117
BMW,X1,2012,154
BMW,X1,2015,91
BMW,X1,2014,198
BMW,X1,2015,91
BMW,X1,2016,108
BMW,4 Series,2018,383
BMW,4 Series,2019,18
BMW,X1,2013,164
BMW,X1,2014,198
BMW,4 Series,2018,383
BMW,4 Series,2017,186
BMW,4 Series,2014,312
BMW,4 Series,2013,33
BMW,4 Series,2016,457
BMW,4 Series,2017,186
BMW,X1,2013,164
BMW,X1,2012,154
BMW,1 Series,2015,1009
BMW,1 Series,2014,625
BMW,1 Series,2016,680
BMW,1 Series,2015,1030
BMW,3 Series,2014,808
BMW,3 Series,2015,1044
BMW,1 Series,2016,640
BMW,1 Series,2017,362
